Participant,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4
30,37,119,fill,367.09999999999997,273.6,287,353.6,I got to enjoy,the most remote,hot spring,in Hungary.
30,38,116,fill,292,324.6,335.3,361.4,I was lucky enough to try,the finest,wine,in Portugal.
30,39,80,fill,419.9,445.90000000000003,541.8,520.1,I got to enjoy,the tastiest,curry,in Bogotá.
30,40,15,exp,369.09999999999997,507.1,527.5999999999999,451.29999999999995,Every,town,in Peru,looked pretty.
30,41,67,fill,452.1,345,338.6,501.09999999999997,I saw,the best views,views,in Vienna.
30,42,100,fill,434.40000000000003,359.20000000000005,337.2,435.90000000000003,I arrived during,the best,time for skiing,in Finland.
30,43,109,fill,567.6999999999999,325,401.2,367.59999999999997,I went on,the most scenic,boat trip,in Greece.
30,44,56,exp,411,375.90000000000003,963.1999999999999,619.9,Every,statue,seemed famous,in the brochure.
30,45,77,fill,440.90000000000003,604.1,301.20000000000005,551.9,I sunbathed,the longest,beach,in Mumbai.
30,46,73,fill,605.8,450.6,518.7,502.70000000000005,I got to experience,the heaviest,snow to ever fall,in Moscow.
30,47,18,exp,276.6,322.5,368.3,421.4,Every,café,in the vlog,seemed cute.
30,48,41,exp,1121.5,327.1,341.9,661.2,Every,waterfall,looked gorgeous,in Slovakia.
30,49,102,fill,689.4,640.2,718.5,629.7,I got to taste,the most authentic,gelato,in Canada.
30,50,111,fill,600.6,568.1,584.0999999999999,537.2,I got to experience,the most vibrant,nightlife,in Thailand.
30,51,58,exp,527.8000000000001,634.6,567.8,492.20000000000005,Every,bistro,in the vlog,seemed popular.
30,52,81,fill,568,745.3,687.6,650.9000000000001,I visited,the most ancient,temple,in Bangkok.
30,53,60,exp,434.59999999999997,638.7,536.2,422.3,Every,neighbourhood,seemed bustling,in the blog.
30,54,99,fill,591.4000000000001,667.3,685,600.6,I got to look around,the most well-established,museum,in Scotland.
30,55,43,exp,753.3,801.2,710.5,783.5,Every,delicacy,in Venezuela,looked tasty.
30,56,34,exp,588,567.9,575.0999999999999,583.2,Every,excursion,on the app,seemed unique.
30,57,63,fill,633.5,590,501.8,484.59999999999997,I ate,the most expensive,pizza,in Rome.
30,58,22,exp,672.9000000000001,838.0999999999999,535.3,595,Every,cottage,on the website,seemed charming.
30,59,20,exp,785.3,550.9,534.5,554.1,Every,church,seemed ornate,in the blog.
30,60,68,fill,542,1308.4,510,557.1,I rode,the fastest,train,in Rotterdam.
30,61,28,exp,609.8,509.1,552.1,459.7,Every,eatery,seemed funky,in the vlog.
30,62,53,exp,460.9,505,541,525,Every,rollercoaster,looked thrilling,in Belgium.
30,63,72,fill,684.3000000000001,604.3,663,659.4,I tried,the spiciest,noodles you can find,in Vancouver.
30,64,8,exp,687.6,426.4,617.1999999999999,438.7,Every,hotel,seemed luxurious,in the vlog.
30,65,89,fill,609.9,450,404.5,393.2,I had,the finest,seafood,in Budapest.
30,66,62,fill,456,593.5,520.4,501.49999999999994,I experienced,the hottest,day on record,in Bordeaux.
30,67,13,exp,661.5999999999999,606.3,767.7,578.6,Every,campsite,looked picturesque,in Germany.
30,68,65,fill,1703,583.6,468.3,516.7,I'd booked in at,the oldest,B&B,in York.
30,69,61,fill,723.4000000000001,721.1999999999999,462,493.70000000000005,I climbed,the tallest,building,in New York.
30,70,75,fill,989.1999999999999,910.5,672.9000000000001,634.1,I rented,the priciest,car available,in Stockholm.
30,71,6,exp,609.5,556.6,709.6,429.59999999999997,Every,monument,in the brochure,seemed interesting.
30,72,54,exp,658.2,508.8,516.9,517.7,Every,walk,on the app,seemed easy.
30,73,4,exp,502.2,583.5,504.2,591.7,Every,park,seemed nice,on the app.
30,74,97,fill,567.4,517.7,517.7,536.5999999999999,I visited,the most historical,monument,in Austria.
30,75,115,fill,622.7,553.5,640,661.2,I got to see,the biggest,Mosque minaret,in Turkey.
30,76,49,exp,1717.6,673.6999999999999,637.5,620.6,Every,fountain,looked impressive,in Turkey.
30,77,85,fill,656.8000000000001,623.3,602.6,658,I went up,the newest,skyscraper,in Istanbul.
30,78,38,exp,753.9,551.2,533.8000000000001,584.8,Every,pub,in the vlog,seemed cosy.
30,79,42,exp,517.7,508.29999999999995,543.6999999999999,671.6,Every,barge,on the website,seemed spacious.
30,80,107,fill,486.5,594.5,634.5,560.3000000000001,I enjoyed,the cheapest,vegan food,in India.
30,81,25,exp,1124,684.6,573.9,550.6999999999999,Every,river,looked soothing,in Norway.
30,82,12,exp,691.3000000000001,522.5999999999999,776.6999999999999,607.6,Every,B&B,seemed cheap,on the website.
30,83,31,exp,636.9,673.6,601.7,592.0999999999999,Every,bridge,in Argentina,looked amazing.
30,84,83,fill,683.4,590.3000000000001,551.6,533.3,I rode,the biggest,rollercoaster,in Malaga.
30,85,93,fill,1084.3,536,552.4,538.4,I took,the highest,helicopter ride,in Italy.
30,86,92,fill,601.1,551.2,456.2,489.9,I bathed in,the cleanest,sea,in France.
30,87,47,exp,951.0999999999999,1026.5,602.8,451.1,Every,chalet,in Denmark,looked pleasant.
30,88,17,exp,451.1,467.6,483.5,384.29999999999995,Every,guesthouse,looked old-fashioned,in France.
30,89,120,fill,500.70000000000005,509.90000000000003,496,501.09999999999997,I took,the most indirect,train journey,in South Africa.
30,90,45,exp,538,574,538.2,526.1,Every,lighthouse,looked magnificent,in Mexico.
30,91,76,fill,621.3,543,601.3,534.6999999999999,I visited,the smallest,coffee shop,in São Paulo.
30,92,7,exp,568,570.1,493.9,489.09999999999997,Every,museum,in Portugal,looked cool.
30,93,118,fill,520.9,484.4,445.6,484.20000000000005,I walked along,the straightest,canal path,in Wales.
30,94,52,exp,554.2,508,487,501.09999999999997,Every,lodge,seemed inexpensive,on the website.
30,95,91,fill,774,645.1,601.1999999999999,519.1,I got to try,the most delicious,spaghetti,in the US.
30,96,57,exp,403.3,390.5,351,417.1,Every,farm,looked eco-friendly,in Greece.
30,97,37,exp,517.5,433.40000000000003,484.70000000000005,455.1,Every,villa,looked stunning,in Egypt.
30,98,96,fill,456.4,567.6999999999999,418.2,494,I drank at,the trendiest,bar,in Belgium.
30,99,2,exp,467.7,417.9,461.6,484.5,Every,hostel,on the website,seemed quirky.
30,100,46,exp,527.5,578.3000000000001,567.4,534.9000000000001,Every,theatre,in the brochure,seemed historic.
30,101,30,exp,687,484.70000000000005,552.6,591.6,Every,square,in the blog,seemed busy.
30,102,3,exp,551.8,489.09999999999997,461.1,517.7,Every,restaurant,in Italy,looked fancy.
30,103,101,fill,924.6,591.1999999999999,605.7,608.4000000000001,I took a boat trip on,the deepest,lake,in China.
30,104,21,exp,1121.2,701.4,425.9,442.40000000000003,Every,building,looked unique,in Switzerland.
30,105,27,exp,571.4,475.4,541.2,503.4,Every,cabin,in Poland,looked peaceful.
30,106,84,fill,475.5,507.2,534.9000000000001,535,I stayed at,the cleanest,hostel,in Marrakesh.
30,107,48,exp,534.6999999999999,525,555.4,534.2,Every,castle,seemed well-maintained,in the vlog.
30,108,50,exp,567.1,589.1999999999999,405.9,484.4,Every,temple,in the blog,seemed fantastic.
30,109,10,exp,484.09999999999997,421.70000000000005,501.29999999999995,483.8,Every,canal,in the blog,seemed lovely.
30,110,112,fill,423.09999999999997,427.5,440.8,450.6,I ate,the best,sushi,in Japan.
30,111,36,exp,451.6,392,356.3,550.2,Every,place,seemed awesome,in the brochure.
30,112,59,exp,610.3,483.70000000000005,534.5999999999999,550.6999999999999,Every,trek,in Thailand,looked challenging.
30,113,103,fill,411.6,350.9,357.4,393.29999999999995,I bought,the most fashionable,jacket,in Russia.
30,114,110,fill,500.09999999999997,584.4,477.4,559.5,I got to see,the most romantic,sunsets,in Colombia.
30,115,23,exp,506.6,634.5,284.4,360,Every,cruise,in Finland,looked idyllic.
30,116,32,exp,284.3,190.89999999999998,183.7,451,Every,apartment,seemed wonderful,on the website.
30,117,87,fill,239.8,201.4,184.2,368.20000000000005,I sailed down,the widest,river,in Dublin.
30,118,74,fill,203.3,351.2,242.60000000000002,334.6,I tasted,the most unique,beer,in Melbourne.
30,119,114,fill,401.2,327.7,367.4,362.9,I bought food from,the oldest,market,Morocco.
30,120,86,fill,734.5,443.09999999999997,435,436.90000000000003,I walked across,the most famous,bridge,in Lisbon.
31,1,63,fill,416.3,497.59999999999997,442.7,476.4,I ate,the most expensive,pizza,in Rome.
31,2,71,fill,514.5,454.29999999999995,470.4,529.3,I was staying in,the most modern,appartment block,in Shanghai.
31,3,80,fill,433.2,478.4,409.5,391,I got to enjoy,the tastiest,curry,in Bogotá.
31,4,55,exp,481.8,316.2,272.6,482.8,Every,forest,looked sprawling,in Austria.
31,5,43,exp,454.6,241,283.5,375.8,Every,delicacy,looked tasty,in Venezuela.
31,6,5,exp,433.59999999999997,240.9,250.2,227.89999999999998,Every,market,in Scotland,looked exciting.
31,7,26,exp,451.79999999999995,273.3,251.2,195.70000000000002,Every,bar,seemed lively,in the brochure.
31,8,31,exp,448.40000000000003,226,187.20000000000002,206.7,Every,bridge,looked amazing,in Argentina.
31,9,35,exp,423.3,231.9,208.2,281.2,Every,palace,looked opulent,in Sweden.
31,10,79,fill,409.7,211.29999999999998,219.5,285.7,I tried,the best,ice-cream,in Athens.
31,11,39,exp,243.4,251.8,207.7,188,Every,lake,looked pristine,in Australia.
31,12,105,fill,479.2,186.6,454,330.2,I went down,the fastest,waterslide,in Sweden.
31,13,56,exp,377.7,200.3,190.89999999999998,422.5,Every,statue,in the brochure,seemed famous.
31,14,82,fill,412.4,271.1,377.40000000000003,344.4,I swam in,the largest,swimming pool,in Tokyo.
31,15,49,exp,421.4,196.70000000000002,189.4,164.39999999999998,Every,fountain,in Turkey,looked impressive.
31,16,40,exp,477.2,178.4,169.3,158.9,Every,garden,in the blog,seemed colourful.
31,17,118,fill,222,158.29999999999998,589.5,351.5,I walked along,the straightest,canal path,in Wales.
31,18,51,exp,392.5,362.09999999999997,262.79999999999995,289.1,Every,brewery,looked exclusive,in Canada.
31,19,14,exp,508.70000000000005,240.6,177.5,362,Every,tour,seemed relaxing,on the app.
31,20,3,exp,457.2,159.8,190.5,196.6,Every,restaurant,looked fancy,in Italy.
31,21,81,fill,688.9,494.3,445.1,363.9,I visited,the most ancient,temple,in Bangkok.
31,22,92,fill,486.4,506.29999999999995,259.2,391.79999999999995,I bathed in,the cleanest,sea,in France.
31,23,102,fill,574.6,259.2,372.5,345,I got to taste,the most authentic,gelato,in Canada.
31,24,50,exp,418.6,219.70000000000002,162.39999999999998,225.6,Every,temple,seemed fantastic,in the blog.
31,25,47,exp,375.7,236.6,233,219.5,Every,chalet,looked pleasant,in Denmark.
31,26,18,exp,173.3,416.6,91.39999999999999,156.9,Every,café,seemed cute,in the vlog.
31,27,69,fill,633.1999999999999,220.4,236,228.4,I was able to take photos of,the rarest,bird,in Aberdeen.
31,28,104,fill,281.1,192.39999999999998,207.8,216.70000000000002,I got a room at,the fanciest,boutique hotel,in Australia.
31,29,73,fill,195.1,232.3,229.4,219.79999999999998,I got to experience,the heaviest,snow to ever fall,in Moscow.
31,30,114,fill,620.6,465.6,470.7,477.1,I bought food from,the oldest,market,Morocco.
31,31,29,exp,424,231.3,225.5,284,Every,shop,in Hungary,looked trendy.
31,32,119,fill,436.2,266.90000000000003,565.9,477.2,I got to enjoy,the most remote,hot spring,in Hungary.
31,33,8,exp,387.90000000000003,251.6,206.2,189.4,Every,hotel,in the vlog,seemed luxurious.
31,34,38,exp,253.6,197.1,206.8,188.79999999999998,Every,pub,seemed cosy,in the vlog.
31,35,108,fill,290.3,235.8,216.4,330.1,I ordered,the most alcoholic,cocktail,in Switzerland.
31,36,1,exp,238,226.1,195.1,209.2,Every,beach,in Spain,looked beautiful.
31,37,65,fill,202.2,405.9,257.79999999999995,222.70000000000002,I'd booked in at,the oldest,B&B,in York.
31,38,78,fill,261.40000000000003,228.9,448.7,302.20000000000005,I drank from,the most well-known,fountain,in Bern.
31,39,11,exp,386.90000000000003,211.10000000000002,194.20000000000002,192.89999999999998,Every,village,looked quaint,in Slovenia.
31,40,115,fill,410.6,260.2,220.9,415.1,I got to see,the biggest,Mosque minaret,in Turkey.
31,41,101,fill,217.29999999999998,253,273.5,227.39999999999998,I took a boat trip on,the deepest,lake,in China.
31,42,117,fill,249.5,199.5,313.7,239.2,I went to a gig by,the most famous,band,in Ireland.
31,43,15,exp,413.7,220.79999999999998,188.1,160,Every,town,looked pretty,in Peru.
31,44,90,fill,488.20000000000005,222.6,188.6,179.10000000000002,I ate,the nicest,cheese,in Johannesburgh.
31,45,22,exp,434.40000000000003,223.20000000000002,223.8,220.9,Every,cottage,seemed charming,on the website.
31,46,34,exp,423.4,261.29999999999995,175.2,249.79999999999998,Every,excursion,seemed unique,on the app.
31,47,37,exp,323,240.1,192.1,193.70000000000002,Every,villa,in Egypt,looked stunning.
31,48,17,exp,467.6,328.90000000000003,221.89999999999998,288.9,Every,guesthouse,in France,looked old-fashioned.
31,49,59,exp,537.9000000000001,345.3,249.79999999999998,283.8,Every,trek,looked challenging,in Thailand.
31,50,64,fill,239.3,263.79999999999995,201.2,189.4,I stayed at,the most luxurious,hotel,in Berlin.
31,51,45,exp,405.3,217,186.70000000000002,147.10000000000002,Every,lighthouse,in Mexico,looked magnificent.
31,52,10,exp,444.29999999999995,193.6,191.20000000000002,169.1,Every,canal,seemed lovely,in the blog.
31,53,36,exp,471,230.6,188.79999999999998,208.2,Every,place,in the brochure,seemed awesome.
31,54,41,exp,240.7,208.6,168.8,239.9,Every,waterfall,in Slovakia,looked gorgeous.
31,55,16,exp,436.8,196.3,188.1,436.09999999999997,Every,gallery,in the brochure,seemed high-end.
31,56,30,exp,256.79999999999995,188.1,194.5,193.8,Every,square,seemed busy,in the blog.
31,57,86,fill,966.4000000000001,286.1,299.8,435.8,I walked across,the most famous,bridge,in Lisbon.
31,58,12,exp,284.3,249.6,189.29999999999998,207.1,Every,B&B,on the website,seemed cheap.
31,59,54,exp,262.2,251.5,158.1,253.1,Every,walk,seemed easy,on the app.
31,60,68,fill,263.90000000000003,218.9,178.7,217.6,I rode,the fastest,train,in Rotterdam.
31,61,24,exp,200.9,217.9,195,203.6,Every,getaway,on the app,seemed romantic.
31,62,99,fill,239.4,220.29999999999998,169.2,222,I got to look around,the most well-established,museum,in Scotland.
31,63,6,exp,407.1,206.6,197.2,198.7,Every,monument,seemed interesting,in the brochure.
31,64,27,exp,822.6,224.20000000000002,185,169.2,Every,cabin,looked peaceful,in Poland.
31,65,100,fill,503.8,340,295.70000000000005,370.59999999999997,I arrived during,the best,time for skiing,in Finland.
31,66,32,exp,535,326.90000000000003,335.3,370.5,Every,apartment,on the website,seemed wonderful.
31,67,83,fill,423.3,231.2,167.9,201.4,I rode,the biggest,rollercoaster,in Malaga.
31,68,87,fill,406.4,234.8,220.4,216.9,I sailed down,the widest,river,in Dublin.
31,69,107,fill,383,191.39999999999998,170.5,207.8,I enjoyed,the cheapest,vegan food,in India.
31,70,46,exp,386.79999999999995,228.1,176.8,188.70000000000002,Every,theatre,seemed historic,in the brochure.
31,71,116,fill,638.8000000000001,187.9,141.8,236.6,I was lucky enough to try,the finest,wine,in Portugal.
31,72,42,exp,500.49999999999994,101.3,9.5,317.5,Every,barge,seemed spacious,on the website.
31,73,106,fill,372.8,205.2,175.8,171.6,I did,the most difficult,trek,in Brazil.
31,74,48,exp,386.90000000000003,160.5,158.79999999999998,131.89999999999998,Every,castle,in the vlog,seemed well-maintained.
31,75,74,fill,187.6,148,178.2,177,I tasted,the most unique,beer,in Melbourne.
31,76,95,fill,471.6,169.9,177.8,188.79999999999998,I went to,the very first,pub,in England.
31,77,7,exp,157.79999999999998,134.9,155.70000000000002,139.3,Every,museum,looked cool,in Portugal.
31,78,60,exp,193.70000000000002,141.7,165.8,147.4,Every,neighbourhood,in the blog,seemed bustling.
31,79,89,fill,209.1,157,161.5,159.39999999999998,I had,the finest,seafood,in Budapest.
31,80,84,fill,188.70000000000002,144.6,190.1,186.79999999999998,I stayed at,the cleanest,hostel,in Marrakesh.
31,81,23,exp,493.8,88.9,191.8,92.7,Every,cruise,looked idyllic,in Finland.
31,82,52,exp,570.9,269.5,276.8,186.20000000000002,Every,lodge,on the website,seemed inexpensive.
31,83,77,fill,654,204.2,105,323.90000000000003,I sunbathed,the longest,beach,in Mumbai.
31,84,112,fill,358.5,54.9,196.3,292,I ate,the best,sushi,in Japan.
31,85,85,fill,466.9,140.7,161.3,158.4,I went up,the newest,skyscraper,in Istanbul.
31,86,113,fill,135.2,187.5,176.2,198.6,I got to explore,the most convoluted,caves,in Spain.
31,87,88,fill,171.4,176.1,188.70000000000002,406.3,I got to stay in,the least well-known,area,in Swansea.
31,88,21,exp,418.5,224.6,174.4,191.20000000000002,Every,building,in Switzerland,looked unique.
31,89,20,exp,227.20000000000002,202.1,165.20000000000002,170.3,Every,church,in the blog,seemed ornate.
31,90,72,fill,123.2,168.9,164.70000000000002,158.5,I tried,the spiciest,noodles you can find,in Vancouver.
31,91,19,exp,481.9,202.2,175.1,223.5,Every,hike,looked scenic,in China.
31,92,111,fill,237.7,210.79999999999998,185.1,190.1,I got to experience,the most vibrant,nightlife,in Thailand.
31,93,9,exp,283.9,223.5,157.6,192.39999999999998,Every,view,in Japan,looked breathtaking.
31,94,75,fill,202.6,147.7,189.29999999999998,159.70000000000002,I rented,the priciest,car available,in Stockholm.
31,95,110,fill,195.3,161.89999999999998,160.1,167.7,I got to see,the most romantic,sunsets,in Colombia.
31,96,57,exp,157.6,149.29999999999998,168.8,158,Every,farm,in Greece,looked eco-friendly.
31,97,97,fill,426.9,197.7,168.4,165,I visited,the most historical,monument,in Austria.
31,98,28,exp,229,187.9,172.9,182.29999999999998,Every,eatery,in the vlog,seemed funky.
31,99,13,exp,189.5,141.7,169.6,174.4,Every,campsite,in Germany,looked picturesque.
31,100,93,fill,178.29999999999998,175.1,184.2,176.7,I took,the highest,helicopter ride,in Italy.
31,101,120,fill,208.7,188.9,140.9,163.1,I took,the most indirect,train journey,in South Africa.
31,102,109,fill,205,172.5,163.39999999999998,161.6,I went on,the most scenic,boat trip,in Greece.
31,103,61,fill,179.4,179.60000000000002,162.39999999999998,155,I climbed,the tallest,building,in New York.
31,104,98,fill,208.7,320.40000000000003,204.2,211.60000000000002,I was staying near,the oldest,university,in The Netherlands.
31,105,58,exp,199.8,162.20000000000002,170,163,Every,bistro,seemed popular,in the vlog.
31,106,91,fill,196.9,163.8,170.9,167.9,I got to try,the most delicious,spaghetti,in the US.
31,107,53,exp,179.2,176.7,175.6,165,Every,rollercoaster,in Belgium,looked thrilling.
31,108,67,fill,208.6,190.1,169.2,189.79999999999998,I saw,the best views,views,in Vienna.
31,109,4,exp,177.2,174.1,176.9,173.4,Every,park,on the app,seemed nice.
31,110,66,fill,157.70000000000002,148.4,162.89999999999998,149.79999999999998,I got to see,the greenest,park,in Brussels.
31,111,70,fill,224.6,171.7,181.29999999999998,227.1,I ate at,the poshest,restaurant,in Helsinki.
31,112,44,exp,252,221.29999999999998,174.3,180.5,Every,sight,on the app,seemed picture-perfect.
31,113,2,exp,431.7,144.4,161.3,135.7,Every,hostel,seemed quirky,on the website.
31,114,103,fill,343.1,165.1,144.1,166.4,I bought,the most fashionable,jacket,in Russia.
31,115,33,exp,160.39999999999998,190.6,149,173.4,Every,zoo,in Thailand,looked responsible.
31,116,62,fill,435.3,173.2,171.2,220,I experienced,the hottest,day on record,in Bordeaux.
31,117,25,exp,478.6,201.8,161.39999999999998,168.2,Every,river,in Norway,looked soothing.
31,118,94,fill,224.1,127,158.6,130.8,I paraglided over,the most beautiful,spot,in Germany.
31,119,96,fill,173,159,147.4,168.1,I drank at,the trendiest,bar,in Belgium.
31,120,76,fill,495.7,294.5,169.4,188.29999999999998,I visited,the smallest,coffee shop,in São Paulo.
5,1,53,exp,548.6999999999999,383.79999999999995,448.6,486.8,Every,rollercoaster,looked thrilling,in the vlog.
5,2,20,exp,494.5,312.40000000000003,412.2,468.6,Every,church,in Belfast,seemed ornate.
5,3,76,fill,416.1,378,481.2,544,I visited,the smallest,coffee shop,in São Paulo.
5,4,113,fill,466.2,499.2,687.4,477.1,I got to explore,the most convoluted,caves,in Spain.
5,5,108,fill,472.3,549.6,545.2,559,I ordered,the most alcoholic,cocktail,in Switzerland.
5,6,33,exp,507.90000000000003,391.90000000000003,581.4,438.7,Every,zoo,looked responsible,in the vlog.
5,7,83,fill,460.2,368.9,402.1,416.4,I rode,the biggest,rollercoaster,in Malaga.
5,8,77,fill,460,409.2,536.1,483.59999999999997,I sunbathed,the longest,beach,in Mumbai.
5,9,24,exp,426.8,297.3,413.5,436.59999999999997,Every,getaway,in Amsterdam,seemed romantic.
5,10,23,exp,514.8000000000001,335.1,426.8,432.2,Every,cruise,in the vlog,looked idyllic.
5,11,28,exp,469.8,293.6,360.8,508.6000000000001,Every,eatery,in Warsaw,seemed funky.
5,12,101,fill,442.8,426.4,416.4,399.3,I took a boat trip on,the deepest,lake,in China.
5,13,27,exp,403.6,366,400.1,397.9,Every,cabin,on the website,looked peaceful.
5,14,35,exp,471.8,279.3,419.4,493,Every,palace,in the blog,looked opulent.
5,15,63,fill,429.9,365.59999999999997,438.7,445.6,I ate,the most expensive,pizza,in Rome.
5,16,67,fill,387.1,332.8,383.6,599.8,I saw,the best views,views,in Vienna.
5,17,32,exp,458.9,311.3,248.70000000000002,382.40000000000003,Every,apartment,in Madrid,seemed wonderful.
5,18,111,fill,420.4,465.7,415.8,482,I got to experience,the most vibrant,nightlife,in Thailand.
5,19,91,fill,343.8,282.8,365.8,447.40000000000003,I got to try,the most delicious,spaghetti,in the US.
5,20,12,exp,443.5,296.5,196.39999999999998,467.6,Every,B&B,in Cardiff,seemed cheap.
5,21,71,fill,412.2,327.40000000000003,334.4,618.8000000000001,I was staying in,the most modern,appartment block,in Shanghai.
5,22,90,fill,476.9,249.70000000000002,344.9,570.1,I ate,the nicest,cheese,in Johannesburgh.
5,23,18,exp,449.6,194,304,404.1,Every,café,seemed cute,in Glasgow.
5,24,94,fill,431.8,154.5,612.6,526.5999999999999,I paraglided over,the most beautiful,spot,in Germany.
5,25,89,fill,366.59999999999997,289.5,399.1,532.5,I had,the finest,seafood,in Budapest.
5,26,4,exp,427.20000000000005,177.2,232.2,319.7,Every,park,in Newcastle,seemed nice.
5,27,8,exp,497.3,229.2,203.2,450.7,Every,hotel,in Rome,seemed luxurious.
5,28,5,exp,469,185.79999999999998,602.9,372,Every,market,looked exciting,in the blog.
5,29,19,exp,410.7,183.5,252.3,370.90000000000003,Every,hike,on the app,looked scenic.
5,30,98,fill,443.79999999999995,161.89999999999998,308.7,550.2,I was staying near,the oldest,university,in The Netherlands.
5,31,118,fill,382.6,165,232.7,436.90000000000003,I walked along,the straightest,canal path,in Wales.
5,32,45,exp,447.1,165.39999999999998,286.4,547.3,Every,lighthouse,looked magnificent,in the blog.
5,33,95,fill,360.4,153.5,366.5,373.5,I went to,the very first,pub,in England.
5,34,110,fill,393.6,152.2,346.1,460.5,I got to see,the most romantic,sunsets,in Colombia.
5,35,52,exp,343.2,167.4,153.10000000000002,466.6,Every,lodge,in Bangkok,seemed inexpensive.
5,36,73,fill,465.8,135,289.6,642.5999999999999,I got to experience,the heaviest,snow to ever fall,in Moscow.
5,37,78,fill,432.2,160.6,417,432.40000000000003,I drank from,the most well-known,fountain,in Bern.
5,38,38,exp,365.70000000000005,166.2,255.7,422.59999999999997,Every,pub,seemed cosy,in Perth.
5,39,85,fill,487.70000000000005,221,244.79999999999998,370.8,I went up,the newest,skyscraper,in Istanbul.
5,40,37,exp,467.4,161.20000000000002,248.70000000000002,321,Every,villa,looked stunning,on the website.
5,41,79,fill,620.6,165.3,245.79999999999998,387.5,I tried,the best,ice-cream,in Athens.
5,42,115,fill,332.9,167.3,152.10000000000002,554.2,I got to see,the biggest,Mosque minaret,in Turkey.
5,43,55,exp,332.6,152,282.5,485.9,Every,forest,in the blog,looked sprawling.
5,44,96,fill,285.6,162,330.5,441.7,I drank at,the trendiest,bar,in Belgium.
